game,data,age,team,opp,result,started,minutes,fg,fga,fgp,fg3,fg3a,fg3p,ft,fta,ftp,orb,drb,totrb,ast,stl,blk,tov,fouls,points
54,1998-02-17,35-000,CHI,IND,W (+8),1,39:34,13,23,.565,0,2,.000,1,3,.333,2,2,4,6,1,1,2,4,27
55,1998-02-19,35-002,CHI,TOR,W (+37),1,28:21,5,9,.556,1,2,.500,5,6,.833,0,4,4,5,0,0,1,2,16
56,1998-02-21,35-004,CHI,WAS,W (+6),1,42:19,8,23,.348,0,0,,3,5,.600,3,5,8,3,1,2,1,3,19
57,1998-02-23,35-006,CHI,CLE,W (+22),1,29:08,7,14,.500,0,1,.000,3,4,.750,2,5,7,6,0,1,2,3,17
58,1998-02-25,35-008,CHI,POR,L (-5),1,42:31,9,26,.346,0,2,.000,15,17,.882,1,3,4,3,4,1,3,2,33
59,1998-02-28,35-011,CHI,SAC,W (+15),1,38:56,10,17,.588,0,1,.000,8,9,.889,1,1,2,2,0,0,2,1,28
60,1998-03-03,35-014,CHI,DEN,W (+28),1,39:31,12,19,.632,0,0,,6,6,1.000,0,7,7,2,2,0,2,1,30
61,1998-03-08,35-019,CHI,NYK,W (+13),1,43:34,17,33,.515,1,2,.500,7,9,.778,3,5,8,6,3,1,2,1,42
62,1998-03-10,35-021,CHI,MIA,W (+15),1,38:55,17,30,.567,1,2,.500,2,2,1.000,0,4,4,4,1,1,1,2,37
63,1998-03-12,35-023,CHI,DAL,L (-7),1,46:54,10,24,.417,1,3,.333,5,11,.455,4,3,7,3,1,1,1,4,26
64,1998-03-14,35-025,CHI,SAS,W (+10),1,41:57,12,22,.545,0,0,,6,7,.857,2,3,5,3,2,1,3,2,30
65,1998-03-16,35-027,CHI,NJN,W (+16),1,33:02,6,15,.400,0,1,.000,5,8,.625,2,5,7,1,1,0,4,1,17
66,1998-03-17,35-028,CHI,IND,W (+6),1,41:37,14,28,.500,1,3,.333,6,9,.667,1,3,4,2,1,0,2,1,35
67,1998-03-20,35-031,CHI,VAN,W (+6),1,39:25,8,13,.615,1,2,.500,7,10,.700,0,4,4,3,0,1,3,1,24
68,1998-03-22,35-033,CHI,TOR,W (+2),1,41:17,13,28,.464,0,2,.000,7,7,1.000,0,4,4,3,5,3,2,3,33
69,1998-03-23,35-034,CHI,BOS,W (+23),1,36:27,11,22,.500,0,1,.000,2,2,1.000,1,6,7,2,2,1,2,1,24
70,1998-03-25,35-036,CHI,ORL,W (+15),1,38:10,8,21,.381,1,3,.333,0,1,.000,2,5,7,8,5,0,0,2,17
71,1998-03-27,35-038,CHI,ATL,W (+15),1,43:00,13,26,.500,0,0,,8,12,.667,1,4,5,4,0,1,2,3,34
72,1998-03-29,35-040,CHI,MIL,W (+17),1,34:48,13,24,.542,0,1,.000,4,5,.800,1,1,2,0,2,0,0,3,30
73,1998-03-31,35-042,CHI,DET,W (+5),1,47:20,11,26,.423,0,2,.000,4,4,1.000,1,2,3,8,4,2,4,5,26
74,1998-04-03,35-045,CHI,MIN,W (+14),1,37:49,16,25,.640,2,6,.333,7,8,.875,3,3,6,4,1,0,0,1,41
75,1998-04-05,35-047,CHI,HOU,W (+15),1,37:16,18,31,.581,0,0,,4,4,1.000,2,2,4,3,3,0,2,3,40
76,1998-04-07,35-049,CHI,WAS,W (+18),1,32:59,11,21,.524,1,2,.500,7,8,.875,1,3,4,3,1,1,2,0,30
77,1998-04-09,35-051,CHI,CLE,L (-6),1,36:42,10,24,.417,0,2,.000,9,12,.750,0,6,6,4,0,0,4,3,29
78,1998-04-11,35-053,CHI,ORL,W (+9),1,35:12,15,25,.600,3,5,.600,4,10,.400,1,3,4,2,4,0,0,2,37
79,1998-04-13,35-055,CHI,IND,L (-9),1,41:19,7,19,.368,1,1,1.000,12,14,.857,0,4,4,3,3,0,4,0,27
80,1998-04-15,35-057,CHI,DET,L (-8),1,43:01,7,25,.280,0,3,.000,5,10,.500,4,2,6,4,1,0,2,4,19
81,1998-04-17,35-059,CHI,PHI,W (+7),1,38:34,9,19,.474,0,2,.000,6,8,.750,1,5,6,2,5,0,4,5,24
