,0
19,All Star
1,2007-08 Scoring Champ
1,2019-20 AST Champ
4,NBA Champ
19,All-NBA
1,2003-04 All-Rookie
1,2003-04 ROY
3,AS MVP
6,All-Defensive
4,MVP
4,Finals MVP
1,NBA 75th Anniv. Team
