game,data,serie,team,opp,game_number,result,started,minutes,fg,fga,fgp,fg3,fg3a,fg3p,ft,fta,ftp,orb,drb,totrb,ast,stl,blk,tov,fouls,points
266,2021-06-03,WC1,LAL,PHO,6,L (-13),1,41:25,11,26,.423,3,10,.300,4,6,.667,2,7,9,7,2,2,3,1,29
267,2023-04-16,WC1,LAL,MEM,1,W (+16),1,34:01,8,16,.500,3,8,.375,2,4,.500,2,9,11,5,2,3,5,1,21
268,2023-04-19,WC1,LAL,MEM,2,L (-10),1,38:53,12,23,.522,1,8,.125,3,4,.750,2,10,12,3,1,1,1,1,28
269,2023-04-22,WC1,LAL,MEM,3,W (+10),1,36:00,10,20,.500,0,4,.000,5,7,.714,2,7,9,5,1,1,3,3,25
270,2023-04-24,WC1,LAL,MEM,4,W (+6),1,45:28,8,18,.444,1,7,.143,5,7,.714,5,15,20,7,0,2,1,3,22
271,2023-04-26,WC1,LAL,MEM,5,L (-17),1,36:57,5,17,.294,1,9,.111,4,6,.667,2,8,10,5,1,1,5,1,15
272,2023-04-28,WC1,LAL,MEM,6,W (+40),1,31:15,9,13,.692,2,5,.400,2,3,.667,1,4,5,6,1,0,3,2,22
273,2023-05-02,WCS,LAL,GSW,1,W (+5),1,40:05,9,24,.375,1,8,.125,3,4,.750,2,9,11,4,0,3,4,0,22
274,2023-05-04,WCS,LAL,GSW,2,L (-27),1,28:07,10,18,.556,3,8,.375,0,0,,0,7,7,3,1,0,0,3,23
275,2023-05-06,WCS,LAL,GSW,3,W (+30),1,32:23,6,11,.545,2,4,.500,7,8,.875,1,7,8,8,0,1,0,0,21
276,2023-05-08,WCS,LAL,GSW,4,W (+3),1,42:57,10,25,.400,2,9,.222,5,5,1.000,2,7,9,6,0,1,3,3,27
277,2023-05-10,WCS,LAL,GSW,5,L (-15),1,39:10,9,17,.529,3,7,.429,4,4,1.000,1,8,9,3,2,1,4,3,25
278,2023-05-12,WCS,LAL,GSW,6,W (+21),1,43:08,10,14,.714,2,3,.667,8,11,.727,0,9,9,9,2,1,2,2,30
279,2023-05-16,WCF,LAL,DEN,1,L (-6),1,39:52,9,16,.563,0,4,.000,8,11,.727,3,9,12,9,0,1,3,1,26
280,2023-05-18,WCF,LAL,DEN,2,L (-5),1,40:08,9,19,.474,0,6,.000,4,4,1.000,0,9,9,10,4,2,3,2,22
281,2023-05-20,WCF,LAL,DEN,3,L (-11),1,42:57,8,19,.421,3,9,.333,4,7,.571,0,7,7,12,0,0,2,2,23
282,2023-05-22,WCF,LAL,DEN,4,L (-2),1,47:56,15,25,.600,4,7,.571,6,7,.857,2,8,10,9,2,0,1,1,40
